Collector_ID,LemmonLab_ID,Genus,Species,Genus_species,mtDNA_clade,Latitude,Longitude
CAS223944,I7487,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_9,37.559855,-122.310798
EULA_02,I7488,Plestiodon,lagunensis,Plestiodon_lagunensis,lagunensis,30.795042,-115.449813
JQR025,I7489,Plestiodon,gilberti,Plestiodon_gilberti,sierran,37.0232,-119.3996
JQR517,I7490,Plestiodon,gilberti,Plestiodon_gilberti,southwestern,33.0547,-116.5448
JQR552,I7491,Plestiodon,gilberti,Plestiodon_gilberti,inyo,37.25209,-118.16429
JQR576,I7492,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_6,34.2832,-118.66708
JQR792,I7493,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_7,34.58803,-120.64017
JQR1249,I7494,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_1,33.09574,-117.20626
JQR1255,I7495,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_5,39.23479,-121.40578
JQR1589,I7496,Plestiodon,gilberti,Plestiodon_gilberti,sierran,39.09658,-121.30011
JQR1615,I7497,Plestiodon,gilberti,Plestiodon_gilberti,southwestern,37.4748,-121.2373
SK_02,I7498,Plestiodon,longirostris,Plestiodon_longirostris,longirostris,,
AMF026,I18066,Plestiodon,gilberti,Plestiodon_gilberti,sierran,35.66626,-118.30311
BTH149,I18067,Plestiodon,skiltonianus,Plestiodon_skiltonianus,utahensis,38.91206,-114.18207
JQR645,I18068,Plestiodon,gilberti,Plestiodon_gilberti,arizonensis,34.21743,-112.75105
JQR1870,I18069,Plestiodon,skiltonianus,Plestiodon_skiltonianus,group_1,,
